region,population2018,urban2018,rural2018
Алтайский край,2350080,1326398,1023682
Амурская область,798424,537884,260540
Архангельская область,1155028,900962,254066
Астраханская область,1017514,678071,339443
Белгородская область,1549876,1044510,505366
Брянская область,1210982,850937,360045
Владимирская область,1378337,1077289,301048
Волгоградская область,2521276,1940241,581035
Вологодская область,1176689,851560,325129
Воронежская область,2333768,1576374,757394
Дальневосточный федеральный округ,6165284,4672066,1493218
Еврейская автономная область,162014,111415,50599
Забайкальский край,1072806,731915,340891
Ивановская область,1014646,826727,187919
Иркутская область,2404195,1894053,510142
Кабардино-Балкарская Республика,865828,451338,414490
Калининградская область,994599,775122,219477
Калужская область,1012156,769262,242894
Камчатский край,315557,246833,68724
Карачаево-Черкесская Республика,466305,199223,267082
Кемеровская область,2694877,2316706,378171
Кировская область,1283238,985180,298058
Костромская область,643324,464477,178847
Краснодарский край,5603420,3075168,2528252
Красноярский край,2876497,2226117,650380
Курганская область,845537,522828,322709
Курская область,1115237,756880,358357
Ленинградская область,1813816,1157086,656730
Липецкая область,1150201,740253,409948
Магаданская область,144091,138169,5922
Москва,12506468,12342615,163853
Московская область,7503385,6123573,1379812
Мурманская область,753557,695764,57793
Ненецкий автономный округ,43997,32049,11948
Нижегородская область,3234752,2572539,662213
Новгородская область,606476,430486,175990
Новосибирская область,2788849,2204326,584523
Омская область,1960081,1424332,535749
Оренбургская область,1977720,1188958,788762
Орловская область,747247,498910,248337
Пензенская область,1331655,912181,419474
Пермский край,2623122,1988243,634879
Приволжский федеральный округ,29542696,21240195,8302501
Приморский край,1913037,1477094,435943
Псковская область,636546,451143,185403
Республика Адыгея,453376,213820,239556
Республика Алтай,218063,63214,154849
Республика Башкортостан,4063293,2522024,1541269
Республика Бурятия,984511,581005,403506
Республика Дагестан,3063885,1383676,1680209
Республика Ингушетия,488043,269949,218094
Республика Калмыкия,275413,125025,150388
Республика Карелия,622484,500558,121926
Республика Коми,840873,656821,184052
Республика Крым,1913731,974788,938943
Республика Марий Эл,682333,451366,230967
Республика Мордовия,805056,507034,298022
Республика Саха (Якутия),964330,632857,331473
Республика Северная Осетия — Алания,701765,450865,250900
Республика Татарстан,3894284,2990569,903715
Республика Тыва,321722,173853,147869
Республика Хакасия,537513,372892,164621
Российская Федеpация,146880432,109326899,37553533
Ростовская область,4220452,2871412,1349040
Рязанская область,1121474,805902,315572
Самарская область,3193514,2554179,639335
Санкт-Петербург,5351935,5351935,0
Саратовская область,2462950,1864459,598491
Сахалинская область,490181,402043,88138
Свердловская область,4325256,3666856,658400
Севастополь,436670,405976,30694
Северо-Западный федеральный округ,13952003,11771437,2180566
Северо-Кавказский федеральный округ,9823481,4893106,4930375
Сибирский федеральный округ,19287474,14095615,5191859
Смоленская область,949348,682708,266640
Ставропольский край,2800674,1636876,1163798
Тамбовская область,1033552,629296,404256
Тверская область,1283873,972859,311014
Томская область,1078280,780804,297476
Тульская область,1491855,1115742,376113
Тюменская область,3692400,2978216,714184
Удмуртская Республика,1513044,995728,517316
Ульяновская область,1246618,938767,307851
Уральский федеральный округ,12356229,10056562,2299667
Хабаровский край,1328302,1090976,237326
Центральный федеральный округ,39311413,32313417,6997996
Челябинская область,3493036,2888662,604374
Чувашская Республика,1436981,768968,935802
Чукотский автономный округ,1655074,1528299,126775
Южный федеральный округ,16441852,10284501,6157351
Ямало-Ненецкий автономный округ,538547,451404,87143
Ярославская область,1265684,1035103,230581
